,Tool,variable,value
0,HIV-1 RT,sgRNA 1S,9.0
1,HIV-1 RT,sgRNA 1S,1.0
2,HIV-1 RT,sgRNA 1S,0.0
3,Polλ Δ2,sgRNA 1S,12.0
4,Polλ Δ2,sgRNA 1S,19.5
5,Polλ Δ2,sgRNA 1S,28.0
6,Polλ Δ2,sgRNA 1S,11.5
7,HIV-1 RT,sgRNA 1Sb,0.0
8,HIV-1 RT,sgRNA 1Sb,0.0
9,HIV-1 RT,sgRNA 1Sb,0.0
10,Polλ Δ2,sgRNA 1Sb,53.5
11,Polλ Δ2,sgRNA 1Sb,
12,Polλ Δ2,sgRNA 1Sb,46.5
13,Polλ Δ2,sgRNA 1Sb,
14,HIV-1 RT,sgRNA 2S,0.0
15,HIV-1 RT,sgRNA 2S,1.0
16,HIV-1 RT,sgRNA 2S,0.0
17,Polλ Δ2,sgRNA 2S,20.0
18,Polλ Δ2,sgRNA 2S,7.0
19,Polλ Δ2,sgRNA 2S,14.0
20,Polλ Δ2,sgRNA 2S,
21,HIV-1 RT,sgRNA 2Sb,0.0
22,HIV-1 RT,sgRNA 2Sb,0.0
23,HIV-1 RT,sgRNA 2Sb,0.0
24,Polλ Δ2,sgRNA 2Sb,
25,Polλ Δ2,sgRNA 2Sb,58.7
26,Polλ Δ2,sgRNA 2Sb,44.5
27,Polλ Δ2,sgRNA 2Sb,60.5
