Sample	AF	Guide
GFP-EMPTY_S1	5.2604556817129725e-06	1
GFP-EMPTY_S1	6.204955898275952e-06	1
GFP-EMPTY_S1	8.234476724736882e-06	1
GFP-EMPTY_S1	9.900576213535628e-06	1
GFP-EMPTY_S1	1.2193337560357022e-05	1
GFP-EMPTY_S1	1.3448132106174035e-05	1
GFP-EMPTY_S1	1.5846922950147695e-05	1
GFP-EMPTY_S1	1.0349845476807032e-06	1
GFP-EMPTY_S1	2.1074860010242388e-06	1
GFP-EMPTY_S1	3.981073974326054e-06	1
GFP-EMPTY_S1	0.0	1
GFP-EMPTY_S1	7.030971429145386e-06	1
GFP-EMPTY_S1	3.5339545471081344e-05	1
GFP-EMPTY_S1	7.895105626644404e-06	1
GFP-EMPTY_S1	6.929533573095195e-06	1
GFP-EMPTY_S1	7.140292466379422e-06	1
GFP-EMPTY_S1	5.435745681028268e-06	1
GFP-EMPTY_S1	1.689059958647838e-05	1
GFP-EMPTY_S1	7.893680023759976e-06	1
GFP-EMPTY_S1	4.038772213247174e-06	1
GFP-EMPTY_S1	3.949107847173475e-06	1
GFP-EMPTY_S1	2.0360751800399482e-06	1
GFP-EMPTY_S1	2.026502601016089e-06	1
GFP-EMPTY_S1	9.840563195112783e-06	1
GFP-EMPTY_S1	2.0684152983935308e-05	1
GFP-1_S2	8.194613885158632e-06	1
GFP-1_S2	4.018331628891001e-06	1
GFP-1_S2	5.31200513159741e-05	1
GFP-1_S2	5.214922605333615e-06	1
GFP-1_S2	7.80659410157466e-05	1
GFP-1_S2	2.41811165630573e-05	1
GFP-1_S2	3.2459562485672144e-05	1
GFP-1_S2	7.974529353245732e-06	1
GFP-1_S2	1.6195823704410022e-05	1
GFP-1_S2	5.417469209910486e-05	1
GFP-1_S2	3.944839311901678e-06	1
GFP-1_S2	8.793364722388591e-06	1
GFP-1_S2	5.0549983824005166e-05	1
GFP-1_S2	1.2495686585111486e-05	1
GFP-1_S2	1.640575089121829e-05	1
GFP-1_S2	1.489006663801156e-05	1
GFP-1_S2	1.4793212028994695e-05	1
GFP-1_S2	2.90876089694551e-05	1
GFP-1_S2	5.1840033177621225e-05	1
GFP-1_S2	3.937500061523439e-06	1
GFP-1_S2	2.310271370250828e-05	1
GFP-1_S2	1.591521962505732e-05	1
GFP-1_S2	2.100678519161689e-05	1
GFP-1_S2	1.9191353143927468e-05	1
GFP-1_S2	3.840843141886507e-05	1
GFP-EMPTY_S1	5.2604556817129725e-06	1+B
GFP-EMPTY_S1	6.204955898275952e-06	1+B
GFP-EMPTY_S1	8.234476724736882e-06	1+B
GFP-EMPTY_S1	9.900576213535628e-06	1+B
GFP-EMPTY_S1	1.2193337560357022e-05	1+B
GFP-EMPTY_S1	1.3448132106174035e-05	1+B
GFP-EMPTY_S1	1.5846922950147695e-05	1+B
GFP-EMPTY_S1	1.0349845476807032e-06	1+B
GFP-EMPTY_S1	2.1074860010242388e-06	1+B
GFP-EMPTY_S1	3.981073974326054e-06	1+B
GFP-EMPTY_S1	0.0	1+B
GFP-EMPTY_S1	7.030971429145386e-06	1+B
GFP-EMPTY_S1	3.5339545471081344e-05	1+B
GFP-EMPTY_S1	7.895105626644404e-06	1+B
GFP-EMPTY_S1	6.929533573095195e-06	1+B
GFP-EMPTY_S1	7.140292466379422e-06	1+B
GFP-EMPTY_S1	5.435745681028268e-06	1+B
GFP-EMPTY_S1	1.689059958647838e-05	1+B
GFP-EMPTY_S1	7.893680023759976e-06	1+B
GFP-EMPTY_S1	4.038772213247174e-06	1+B
GFP-EMPTY_S1	3.949107847173475e-06	1+B
GFP-EMPTY_S1	2.0360751800399482e-06	1+B
GFP-EMPTY_S1	2.026502601016089e-06	1+B
GFP-EMPTY_S1	9.840563195112783e-06	1+B
GFP-EMPTY_S1	2.0684152983935308e-05	1+B
GFP-EMPTY_S1	6.8976730207373625e-06	1+B
GFP-EMPTY_S1	8.860849223789609e-06	1+B
GFP-EMPTY_S1	1.8719599124710955e-05	1+B
GFP-EMPTY_S1	9.946665977031157e-07	1+B
GFP-EMPTY_S1	1.9870148579036e-06	1+B
GFP-EMPTY_S1	5.9256215977055996e-06	1+B
GFP-EMPTY_S1	3.0066778314636808e-06	1+B
GFP-EMPTY_S1	9.892596084312618e-06	1+B
GFP-EMPTY_S1	7.1170035381674725e-06	1+B
GFP-EMPTY_S1	1.2045556293903545e-05	1+B
GFP-EMPTY_S1	7.880934836490305e-06	1+B
GFP-1-B_S3	3.333518528807156e-05	1+B
GFP-1-B_S3	1.6467230211878362e-05	1+B
GFP-1-B_S3	2.1792338086333076e-05	1+B
GFP-1-B_S3	2.978258711406731e-05	1+B
GFP-1-B_S3	9.540587135794803e-05	1+B
GFP-1-B_S3	6.016394675490712e-05	1+B
GFP-1-B_S3	8.020111120022345e-05	1+B
GFP-1-B_S3	3.92837887995145e-05	1+B
GFP-1-B_S3	4.142559273118933e-05	1+B
GFP-1-B_S3	6.32341084781131e-05	1+B
GFP-1-B_S3	3.100315423395249e-05	1+B
GFP-1-B_S3	4.783786154128275e-05	1+B
GFP-1-B_S3	5.0722313156819676e-05	1+B
GFP-1-B_S3	2.092969714728228e-05	1+B
GFP-1-B_S3	4.464361917942402e-05	1+B
GFP-1-B_S3	4.9996284059968514e-05	1+B
GFP-1-B_S3	7.448682872326711e-05	1+B
GFP-1-B_S3	7.382545026933105e-05	1+B
GFP-1-B_S3	7.189495493493507e-05	1+B
GFP-1-B_S3	8.174302939666945e-05	1+B
GFP-1-B_S3	3.405561806362375e-05	1+B
GFP-1-B_S3	4.19367755760219e-05	1+B
GFP-1-B_S3	9.058901790687991e-05	1+B
GFP-1-B_S3	6.656833696631121e-05	1+B
GFP-1-B_S3	7.442963396289486e-05	1+B
GFP-1-B_S3	3.396082488231268e-05	1+B
GFP-1-B_S3	1.9565974509448408e-05	1+B
GFP-1-B_S3	2.6085822355549757e-05	1+B
GFP-1-B_S3	2.4989741053672698e-05	1+B
GFP-1-B_S3	7.236051852231927e-05	1+B
GFP-1-B_S3	5.102341189630473e-05	1+B
GFP-1-B_S3	0.00010796617059987872	1+B
GFP-1-B_S3	4.851555513596157e-05	1+B
GFP-1-B_S3	2.2765743180990336e-05	1+B
GFP-1-B_S3	1.3274906046852456e-05	1+B
GFP-1-B_S3	1.1742540877089521e-05	1+B
