Sample	AF	Guide
EGFP_NT_sgRNA	5.26045568171297E-06	a1
EGFP_NT_sgRNA	6.20495589827595E-06	a1
EGFP_NT_sgRNA	8.23447672473688E-06	a1
EGFP_NT_sgRNA	9.90057621353563E-06	a1
EGFP_NT_sgRNA	1.2193337560357E-05	a1
EGFP_NT_sgRNA	1.3448132106174E-05	a1
EGFP_NT_sgRNA	1.58469229501477E-05	a1
EGFP_NT_sgRNA	1.0349845476807E-06	a1
EGFP_NT_sgRNA	2.10748600102424E-06	a1
EGFP_NT_sgRNA	3.98107397432605E-06	a1
EGFP_NT_sgRNA	0	a1
EGFP_NT_sgRNA	7.03097142914539E-06	a1
EGFP_NT_sgRNA	3.53395454710813E-05	a1
EGFP_NT_sgRNA	7.8951056266444E-06	a1
EGFP_NT_sgRNA	6.92953357309519E-06	a1
EGFP_NT_sgRNA	7.14029246637942E-06	a1
EGFP_NT_sgRNA	5.43574568102827E-06	a1
EGFP_NT_sgRNA	1.68905995864784E-05	a1
EGFP_NT_sgRNA	7.89368002375998E-06	a1
EGFP_NT_sgRNA	4.03877221324717E-06	a1
EGFP_NT_sgRNA	3.94910784717347E-06	a1
EGFP_NT_sgRNA	2.03607518003995E-06	a1
EGFP_NT_sgRNA	2.02650260101609E-06	a1
EGFP_NT_sgRNA	9.84056319511278E-06	a1
EGFP_NT_sgRNA	2.06841529839353E-05	a1
EGFP_sgRNA_a1	8.19461388515863E-06	a1
EGFP_sgRNA_a1	4.018331628891E-06	a1
EGFP_sgRNA_a1	5.31200513159741E-05	a1
EGFP_sgRNA_a1	5.21492260533362E-06	a1
EGFP_sgRNA_a1	7.80659410157466E-05	a1
EGFP_sgRNA_a1	2.41811165630573E-05	a1
EGFP_sgRNA_a1	3.24595624856721E-05	a1
EGFP_sgRNA_a1	7.97452935324573E-06	a1
EGFP_sgRNA_a1	1.619582370441E-05	a1
EGFP_sgRNA_a1	5.41746920991049E-05	a1
EGFP_sgRNA_a1	3.94483931190168E-06	a1
EGFP_sgRNA_a1	8.79336472238859E-06	a1
EGFP_sgRNA_a1	5.05499838240052E-05	a1
EGFP_sgRNA_a1	1.24956865851115E-05	a1
EGFP_sgRNA_a1	1.64057508912183E-05	a1
EGFP_sgRNA_a1	1.48900666380116E-05	a1
EGFP_sgRNA_a1	1.47932120289947E-05	a1
EGFP_sgRNA_a1	2.90876089694551E-05	a1
EGFP_sgRNA_a1	5.18400331776212E-05	a1
EGFP_sgRNA_a1	3.93750006152344E-06	a1
EGFP_sgRNA_a1	2.31027137025083E-05	a1
EGFP_sgRNA_a1	1.59152196250573E-05	a1
EGFP_sgRNA_a1	2.10067851916169E-05	a1
EGFP_sgRNA_a1	1.91913531439275E-05	a1
EGFP_sgRNA_a1	3.84084314188651E-05	a1
EGFP_NT_sgRNA	5.26045568171297E-06	a1+a2
EGFP_NT_sgRNA	6.20495589827595E-06	a1+a2
EGFP_NT_sgRNA	8.23447672473688E-06	a1+a2
EGFP_NT_sgRNA	9.90057621353563E-06	a1+a2
EGFP_NT_sgRNA	1.2193337560357E-05	a1+a2
EGFP_NT_sgRNA	1.3448132106174E-05	a1+a2
EGFP_NT_sgRNA	1.58469229501477E-05	a1+a2
EGFP_NT_sgRNA	1.0349845476807E-06	a1+a2
EGFP_NT_sgRNA	2.10748600102424E-06	a1+a2
EGFP_NT_sgRNA	3.98107397432605E-06	a1+a2
EGFP_NT_sgRNA	0	a1+a2
EGFP_NT_sgRNA	7.03097142914539E-06	a1+a2
EGFP_NT_sgRNA	3.53395454710813E-05	a1+a2
EGFP_NT_sgRNA	7.8951056266444E-06	a1+a2
EGFP_NT_sgRNA	6.92953357309519E-06	a1+a2
EGFP_NT_sgRNA	7.14029246637942E-06	a1+a2
EGFP_NT_sgRNA	5.43574568102827E-06	a1+a2
EGFP_NT_sgRNA	1.68905995864784E-05	a1+a2
EGFP_NT_sgRNA	7.89368002375998E-06	a1+a2
EGFP_NT_sgRNA	4.03877221324717E-06	a1+a2
EGFP_NT_sgRNA	3.94910784717347E-06	a1+a2
EGFP_NT_sgRNA	2.03607518003995E-06	a1+a2
EGFP_NT_sgRNA	2.02650260101609E-06	a1+a2
EGFP_NT_sgRNA	9.84056319511278E-06	a1+a2
EGFP_NT_sgRNA	2.06841529839353E-05	a1+a2
EGFP_NT_sgRNA	6.89767302073736E-06	a1+a2
EGFP_NT_sgRNA	8.86084922378961E-06	a1+a2
EGFP_NT_sgRNA	1.8719599124711E-05	a1+a2
EGFP_NT_sgRNA	9.94666597703116E-07	a1+a2
EGFP_NT_sgRNA	1.9870148579036E-06	a1+a2
EGFP_NT_sgRNA	5.9256215977056E-06	a1+a2
EGFP_NT_sgRNA	3.00667783146368E-06	a1+a2
EGFP_NT_sgRNA	9.89259608431262E-06	a1+a2
EGFP_NT_sgRNA	7.11700353816747E-06	a1+a2
EGFP_NT_sgRNA	1.20455562939035E-05	a1+a2
EGFP_NT_sgRNA	7.88093483649031E-06	a1+a2
EGFP_sgRNA_a1+a2	3.33351852880716E-05	a1+a2
EGFP_sgRNA_a1+a2	1.64672302118784E-05	a1+a2
EGFP_sgRNA_a1+a2	2.17923380863331E-05	a1+a2
EGFP_sgRNA_a1+a2	2.97825871140673E-05	a1+a2
EGFP_sgRNA_a1+a2	9.5405871357948E-05	a1+a2
EGFP_sgRNA_a1+a2	6.01639467549071E-05	a1+a2
EGFP_sgRNA_a1+a2	8.02011112002234E-05	a1+a2
EGFP_sgRNA_a1+a2	3.92837887995145E-05	a1+a2
EGFP_sgRNA_a1+a2	4.14255927311893E-05	a1+a2
EGFP_sgRNA_a1+a2	6.32341084781131E-05	a1+a2
EGFP_sgRNA_a1+a2	3.10031542339525E-05	a1+a2
EGFP_sgRNA_a1+a2	4.78378615412828E-05	a1+a2
EGFP_sgRNA_a1+a2	5.07223131568197E-05	a1+a2
EGFP_sgRNA_a1+a2	2.09296971472823E-05	a1+a2
EGFP_sgRNA_a1+a2	4.4643619179424E-05	a1+a2
EGFP_sgRNA_a1+a2	4.99962840599685E-05	a1+a2
EGFP_sgRNA_a1+a2	7.44868287232671E-05	a1+a2
EGFP_sgRNA_a1+a2	7.3825450269331E-05	a1+a2
EGFP_sgRNA_a1+a2	7.18949549349351E-05	a1+a2
EGFP_sgRNA_a1+a2	8.17430293966694E-05	a1+a2
EGFP_sgRNA_a1+a2	3.40556180636237E-05	a1+a2
EGFP_sgRNA_a1+a2	4.19367755760219E-05	a1+a2
EGFP_sgRNA_a1+a2	9.05890179068799E-05	a1+a2
EGFP_sgRNA_a1+a2	6.65683369663112E-05	a1+a2
